Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-06-05,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/6CjXU1,5,Yes,anakin you're breaking my heart!!!!,,2024-06-05
2024-06-05,Star Wars,1977,https://boxd.it/6Cl5LN,4.5,,OKAYYYY FINEEE I LIKE STAR WARS!!!!!,,2024-06-05
2024-06-07,Return of the Jedi,1983,https://boxd.it/6D2UEf,4,,“i am a jedi like my father before me” 😭😭😭😭😭,,2024-06-07
2024-08-16,The Great Gatsby,2013,https://boxd.it/76Wbkd,3.5,,i really cant tell how i feel about this movie,,2024-08-16
2024-09-14,Beetlejuice Beetlejuice,2024,https://boxd.it/7jPEb3,3,,fun,,2024-09-13
2024-09-27,Failure to Launch,2006,https://boxd.it/7pzkBd,2,,generic romcom duh !,,2024-09-26
2024-09-27,The Intern,2015,https://boxd.it/7pC0ef,3.5,Yes,wait a minute she stays with her cheating husband?! have i never finished this movie why did i not know this,,2024-09-26
2024-09-27,The Proposal,2009,https://boxd.it/7pVbqz,2.5,,remembered this movie existed and i don’t like it,,
2024-09-29,Sex and the City,2008,https://boxd.it/7qpBZZ,2.5,,2 stars for nostalgia of the show and half a star for charlotte shouting at big,,2024-09-28
2024-09-29,It Ends with Us,2024,https://boxd.it/7qNI9f,0.5,,just as bad as you could possibly imagine,,2024-09-29
2024-10-09,The Day After Tomorrow,2004,https://boxd.it/7vE7J3,2.5,,emmy rossum is so beautiful she deserves at least 2 stars,,2024-10-09
2024-10-09,Don't Worry Darling,2022,https://boxd.it/7vFQVZ,3,,ignore this i just realised i never rated it,,
2024-10-11,Ticket to Paradise,2022,https://boxd.it/7wbKFv,2,,imagine you are starting your life as a newly wed in a foreign land and your parents last minute decide to move there without telling/asking you,,2024-10-10
2024-10-12,Passengers,2016,https://boxd.it/7wByS5,2.5,,this is an actual horror movie but i love space and jennifer lawrence is really pretty (also she should’ve let him DIE but whatever),,2024-10-11
2024-10-13,Leap Year,2010,https://boxd.it/7x4iDL,2.5,Yes,whole time i’m screaming “girl you have a boyfriend!!!!!!”,,2024-10-12
2024-10-13,Brokeback Mountain,2005,https://boxd.it/7x4DV7,4,,didn’t know i never rated this ignore,,
2024-10-16,Isi & Ossi,2020,https://boxd.it/7yR2ul,2.5,,admittedly i laughed a few times…,,2024-10-16
2024-10-17,Spring Breakers,2012,https://boxd.it/7zBcgZ,2,,never rated this,,
