Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-06-25,My Fault,2023,https://boxd.it/4qnx9n,1,,,2023-06-25
2023-07-20,Barbie,2023,https://boxd.it/4xVUwl,2.5,,,2023-07-20
2023-07-20,Oppenheimer,2023,https://boxd.it/4xVUFR,3.5,,,2023-07-20
2023-08-06,Meg 2: The Trench,2023,https://boxd.it/4EeAIN,1.5,,,2023-08-06
2023-08-11,Smurfs: The Lost Village,2017,https://boxd.it/4FTAez,5,,,2023-08-10
2023-08-12,Chip 'n Dale: Rescue Rangers,2022,https://boxd.it/4GciML,5,,,2023-08-11
2023-08-29,Blue Beetle,2023,https://boxd.it/4LT0hL,1,,,2023-08-29
2023-09-03,Mr. & Mrs. Smith,2005,https://boxd.it/4N267T,4,,,2023-09-02
2023-09-06,Before Sunrise,1995,https://boxd.it/4O1muB,5,,,2023-09-05
2023-09-11,The Truman Show,1998,https://boxd.it/4Ppl4z,5,,,2023-09-10
2023-09-11,Jaws,1975,https://boxd.it/4Pplef,3,,,2023-09-10
2023-09-11,Jurassic Park,1993,https://boxd.it/4Pplrj,4,,,2023-09-10
2023-09-26,Stand by Me,1986,https://boxd.it/4TFCwj,5,,,2023-09-25
2023-09-28,Mambo Girl,1957,https://boxd.it/4Uc9BZ,3,,,2023-09-27
2023-09-29,Everything Everywhere All at Once,2022,https://boxd.it/4UFnt9,4,,,2023-09-29
2023-09-30,Our Time Will Come,2017,https://boxd.it/4UJy0l,3.5,,,2023-09-29
2023-09-30,Saw X,2023,https://boxd.it/4UJytH,2,,,2023-09-29
2023-10-14,The Wonderful Story of Henry Sugar,2023,https://boxd.it/4ZFc2r,5,,,2023-10-14
2023-10-21,Whatever It Takes,2000,https://boxd.it/51FBFV,2,,,2023-10-21
2023-10-22,Bridget Jones's Diary,2001,https://boxd.it/520mNd,4,,,2023-10-22
2023-10-28,Five Nights at Freddy's,2023,https://boxd.it/53VmPL,3,,,2023-10-27
2023-10-29,The Nightmare Before Christmas,1993,https://boxd.it/54CkW7,4.5,,,2023-10-29
2023-11-04,All the Light We Cannot See,2023,https://boxd.it/56xcef,4.5,,,2023-11-04
2023-11-15,Four Christmases,2008,https://boxd.it/5a3dp5,3.5,,,2023-11-14
2023-11-15,Falling for Christmas,2022,https://boxd.it/5a3dIL,2,,,2023-11-14
2023-11-18,Schindler's List,1993,https://boxd.it/5aSMw3,5,,,2023-11-17
2023-11-19,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/5bcr1X,3.5,,,2023-11-18
2023-11-22,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/5cxlBh,2.5,,,2023-11-22
2023-11-22,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/5cxNbL,2.5,,,2023-11-22
2023-11-26,Sing,2016,https://boxd.it/5dMbKx,4,,,2023-11-26
2023-11-30,Table for Six,2022,https://boxd.it/5f5tqx,1.5,,,2023-11-29
2023-11-30,Finding Mr. Right,2013,https://boxd.it/5f5u1X,2,,,2023-11-29
2023-11-30,The Killer,1989,https://boxd.it/5f5uuv,3,,,2023-11-29
2023-12-03,Family Switch,2023,https://boxd.it/5ghsEh,2,,,2023-12-03
2023-12-04,Roman Holiday,1953,https://boxd.it/5gK5UJ,4,,,2023-12-04
2023-12-05,When Harry Met Sally...,1989,https://boxd.it/5gMKTL,4.5,,,2023-12-04
2023-12-05,Pretty Woman,1990,https://boxd.it/5h1ptn,4,,,2023-12-05
2023-12-05,Pillow Talk,1959,https://boxd.it/5h3TXh,3,,,2023-12-05
2023-12-24,Priscilla,2023,https://boxd.it/5nSLPP,3.5,,,2023-12-24
2023-12-26,Wonka,2023,https://boxd.it/5p0xf9,2.5,,,2023-12-26
2024-01-05,(500) Days of Summer,2009,https://boxd.it/5v3wBN,4,,,2024-01-05
2024-01-07,Sleepless in Seattle,1993,https://boxd.it/5wBDhn,3.5,,,2024-01-07
2024-01-12,Mona Lisa Smile,2003,https://boxd.it/5zpkhB,4,,,2024-01-12
2024-01-20,Anyone But You,2023,https://boxd.it/5DCqz9,2,,,2024-01-20
2024-02-09,Lady Bird,2017,https://boxd.it/5NgQr7,4,,,2024-02-09
2024-02-10,The Hangover,2009,https://boxd.it/5NiamD,4,Yes,,2024-02-09
2024-02-11,My Best Friend's Wedding,1997,https://boxd.it/5NJmCR,3,,,2024-02-10
2024-02-11,Notting Hill,1999,https://boxd.it/5NLqBx,4.5,,,2024-02-10
2024-02-11,Letters to Juliet,2010,https://boxd.it/5ObBwZ,4,,,2024-02-11
2024-02-14,Argylle,2024,https://boxd.it/5Pa9OD,3.5,,,2024-02-13
2024-02-20,Miller's Girl,2024,https://boxd.it/5S2JmB,1.5,,,2024-02-19
2024-02-20,The Hangover Part II,2011,https://boxd.it/5S3uz3,3.5,Yes,,2024-02-19
2024-02-23,Thanksgiving,2023,https://boxd.it/5TkZot,2,,,2024-02-22
2024-02-23,Anastasia,1997,https://boxd.it/5TBfk5,4,,,2024-02-23
2024-02-25,Bad Teacher,2011,https://boxd.it/5Uarb5,4,Yes,,2024-02-24
2024-03-04,The Devil Wears Prada,2006,https://boxd.it/5XWytN,4,,,2024-03-03
2024-03-05,What's Your Number?,2011,https://boxd.it/5YzFZ5,4,Yes,,2024-03-04
2024-03-06,Julie & Julia,2009,https://boxd.it/5Z0xwt,4,Yes,,2024-03-05
2024-03-08,In Time,2011,https://boxd.it/5ZQ94p,2.5,,,2024-03-07
2024-03-16,Damsel,2024,https://boxd.it/63Xgg3,2.5,,,2024-03-16
2024-03-17,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/63YDS7,5,,,2024-03-16
2024-03-17,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6417Cd,5,,,2024-03-16
2024-03-17,Some Like It Hot,1959,https://boxd.it/641hwp,3.5,,,2024-03-16
2024-03-17,The Secret World of Arrietty,2010,https://boxd.it/64qThR,4.5,,,2024-03-17
2024-03-30,Horrible Bosses 2,2014,https://boxd.it/69Zs2l,2,,,2024-03-29
2024-04-06,Flipped,2010,https://boxd.it/6dItjp,4,Yes,,2024-04-06
2024-05-07,Wreck-It Ralph,2012,https://boxd.it/6qh9bN,5,Yes,,2024-05-06
2024-05-09,The Idea of You,2024,https://boxd.it/6r1EQp,1,,,2024-05-08
2024-05-10,Kingdom of the Planet of the Apes,2024,https://boxd.it/6rGP7H,3.5,,,2024-05-10
2024-05-12,The Help,2011,https://boxd.it/6s9ael,4,,,2024-05-11
2024-05-12,Closer,2004,https://boxd.it/6sb0EH,2.5,,,2024-05-12
2024-05-20,Challengers,2024,https://boxd.it/6vgCML,3.5,,,2024-05-19
2024-06-05,Rise of the Planet of the Apes,2011,https://boxd.it/6C2fo7,3.5,,,2024-06-04
2024-06-05,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/6Ci6LN,3.5,Yes,,2024-06-05
2024-06-05,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/6Ci7jb,4.5,Yes,,2024-06-05
2024-06-05,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/6CjXU1,5,Yes,,2024-06-05
2024-06-05,Star Wars,1977,https://boxd.it/6Cl5LN,4.5,,,2024-06-05
2024-06-07,The Empire Strikes Back,1980,https://boxd.it/6CKjIX,4.5,,,2024-06-06
2024-06-07,Return of the Jedi,1983,https://boxd.it/6D2UEf,4,,,2024-06-07
2024-08-16,The Great Gatsby,2013,https://boxd.it/76Wbkd,3.5,,,2024-08-16
2024-09-14,Beetlejuice Beetlejuice,2024,https://boxd.it/7jPEb3,3,,,2024-09-13
2024-09-21,Scream,2022,https://boxd.it/7ngg99,2.5,,,2024-09-21
2024-09-27,Failure to Launch,2006,https://boxd.it/7pzkBd,2,,,2024-09-26
2024-09-27,The Intern,2015,https://boxd.it/7pC0ef,3.5,Yes,,2024-09-26
2024-09-29,Sex and the City,2008,https://boxd.it/7qpBZZ,2.5,,,2024-09-28
2024-09-29,It Ends with Us,2024,https://boxd.it/7qNI9f,0.5,,,2024-09-29
2024-10-09,The Day After Tomorrow,2004,https://boxd.it/7vE7J3,2.5,,,2024-10-09
2024-10-11,Ticket to Paradise,2022,https://boxd.it/7wbKFv,2,,,2024-10-10
2024-10-11,Good Will Hunting,1997,https://boxd.it/7wxwZb,5,,,2024-10-11
2024-10-12,Passengers,2016,https://boxd.it/7wByS5,2.5,,,2024-10-11
2024-10-13,Leap Year,2010,https://boxd.it/7x4iDL,2.5,Yes,,2024-10-12
2024-10-13,Madame Web,2024,https://boxd.it/7x6TRJ,0.5,,,2024-10-12
2024-10-13,Rio,2011,https://boxd.it/7xBZOt,4.5,,,2024-10-13
2024-10-16,Isi & Ossi,2020,https://boxd.it/7yR2ul,2.5,,,2024-10-16
2024-10-18,Garden State,2004,https://boxd.it/7zHCwV,4.5,,,2024-10-17
2024-10-18,Woman of the Hour,2023,https://boxd.it/7A5HLz,4,,,2024-10-18
2024-10-19,Like Father,2018,https://boxd.it/7AsqCV,2,,,2024-10-19
2024-10-20,Journey 2: The Mysterious Island,2012,https://boxd.it/7AFaHB,2,,,2024-10-19
2024-10-27,Kingsman: The Secret Service,2014,https://boxd.it/7EE6PZ,4,,,2024-10-27
2024-10-27,The Virgin Suicides,1999,https://boxd.it/7EHuux,4,,,2024-10-27
2024-10-27,Kingsman: The Golden Circle,2017,https://boxd.it/7EJNW5,3,,,2024-10-27
2024-10-30,Fear,1996,https://boxd.it/7FZJfH,2,Yes,,2024-10-29
2024-10-30,Hocus Pocus,1993,https://boxd.it/7GnYEb,3,,,2024-10-30
2024-11-04,The Substance,2024,https://boxd.it/7IDfOP,4.5,,,2024-11-03
