Date,Name,Year,Letterboxd URI
2025-05-28,King Arthur,2004,https://boxd.it/1YAa
2025-06-01,The Man from U.N.C.L.E.,2015,https://boxd.it/67lG
2025-06-17,Dinner in America,2020,https://boxd.it/oinu
2025-06-21,Manchester by the Sea,2016,https://boxd.it/b2L0
2025-06-27,Cure,1997,https://boxd.it/1blA
2025-06-28,"Comrades, Almost a Love Story",1996,https://boxd.it/18QU
2025-07-08,Running on Empty,1988,https://boxd.it/1How
2025-07-10,To Die For,1995,https://boxd.it/2a5o
2025-07-11,Sing Street,2016,https://boxd.it/cOo6
2025-07-11,Something Wild,1986,https://boxd.it/1UbU
2025-07-11,The World of Suzie Wong,1960,https://boxd.it/P8k
2025-07-15,Manon of the Spring,1986,https://boxd.it/24gA
2025-07-19,Magnolia,1999,https://boxd.it/2aze
2025-07-19,Little Fish,2020,https://boxd.it/lAFK
2025-07-19,Love Story,1970,https://boxd.it/1Zgg
2025-08-01,Sinbad: Legend of the Seven Seas,2003,https://boxd.it/1Oa2
2025-08-25,Primal Fear,1996,https://boxd.it/28ws
2025-08-25,Grandma's Boy,2006,https://boxd.it/1XzK
2025-09-09,The Graduate,1967,https://boxd.it/18Im
2025-09-25,The Book of Life,2014,https://boxd.it/6JKY
2025-09-25,Gone with the Wind,1939,https://boxd.it/29Fq
2025-09-25,Thelma & Louise,1991,https://boxd.it/28Ew
2025-09-25,Psycho,1960,https://boxd.it/2ab2
2025-09-25,The Aviator,2004,https://boxd.it/26BU
2025-09-25,The Apartment,1960,https://boxd.it/2aGE
2025-09-25,It's a Wonderful Life,1946,https://boxd.it/28xA
2025-10-09,Life Is Beautiful,1997,https://boxd.it/29Wm
2025-10-10,Incendies,2010,https://boxd.it/Msm
2025-10-24,The Beach,2000,https://boxd.it/27T6
2025-10-30,Sommersby,1993,https://boxd.it/296A
2025-11-24,A Bronx Tale,1993,https://boxd.it/28uQ
2025-11-26,Flyboys,2006,https://boxd.it/1Y6E
2025-12-01,Kingdom of Heaven,2005,https://boxd.it/28Gs
2025-12-05,Eternity,2025,https://boxd.it/LYtK
