Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-09-26,One Battle After Another,2025,https://boxd.it/baJENP,1,,2.5 hrs of nothing. Absolute nothing burger. All characters suck. Plot doesn't exist. Total garbage,,2025-09-25
2025-11-24,Frankenstein,2025,https://boxd.it/bOAx17,3,,"Eh, mega plot holes, ending kinda boring",,2025-11-24
