Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-09-29,Jurassic World,2015,https://boxd.it/4UsZov,4.5,,,2023-08-24
2024-03-31,Kung Fu Panda 3,2016,https://boxd.it/6b0pkd,2.5,,,2024-03-31
