Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-03-27,Daisy Jones & the Six,2023,https://boxd.it/42bQm1,4,Yes,i am madly in love with karen,,2023-03-26
2023-10-07,The Talented Mr. Ripley,1999,https://boxd.it/4X3frl,1,,couldn’t finish i got so bored,,2023-10-06
2024-10-11,The Menendez Brothers,2024,https://boxd.it/7w9YBt,,,that judge can burn in hell and so can that pamela bitch,,2024-10-10
2024-11-03,Agatha All Along,2024,https://boxd.it/7I2jlN,4,,i will not take ANY wanda slander…,,2024-11-02
