Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-02-07,The Notebook,2004,https://boxd.it/3Pd4nd,5,,,2023-02-07
2023-03-27,Daisy Jones & the Six,2023,https://boxd.it/42bPMx,4,,,2023-03-26
2023-03-27,Daisy Jones & the Six,2023,https://boxd.it/42bQm1,4,Yes,,2023-03-26
2023-10-07,The Talented Mr. Ripley,1999,https://boxd.it/4X3frl,1,,,2023-10-06
2024-10-11,The Menendez Brothers,2024,https://boxd.it/7w9YBt,,,,2024-10-10
2024-11-03,Agatha All Along,2024,https://boxd.it/7I2jlN,4,,,2024-11-02
