Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-03-11,Blade Runner 2049,2017,https://boxd.it/61OiJZ,5,,"cinematic as fuck, the soundtrack is ethereal",,2024-03-11
2024-03-11,Dune: Part Two,2024,https://boxd.it/61Om2P,5,,best movie I’ve seen in a fucking while cinematography goes hard,,2024-03-11
2024-03-20,One Day,2024,https://boxd.it/65wTAZ,3,,Last episode was beautiful but it gave me ‘normal people’ vibes and nothing beats that,,2024-03-19
