Date,Name,Year,Letterboxd URI,Rating
2024-02-07,Top Gun,1986,https://boxd.it/29JC,3
2024-02-07,Legally Blonde,2001,https://boxd.it/1ZNa,4
2024-02-10,Blue Lagoon: The Awakening,2012,https://boxd.it/3QjY,1
2024-02-10,Upgraded,2024,https://boxd.it/ClSe,3.5
2024-02-13,Flipped,2010,https://boxd.it/Tb8,4
2024-02-14,Argylle,2024,https://boxd.it/w1kk,4
2024-02-20,Taylor Tomlinson: Have It All,2024,https://boxd.it/KDH0,4
2024-02-23,Thanksgiving,2023,https://boxd.it/EviY,3
2024-02-23,Just Go with It,2011,https://boxd.it/Doq,4.5
2024-02-23,Anastasia,1997,https://boxd.it/1YFk,4
2024-03-01,Don't Worry Darling,2022,https://boxd.it/mViu,2.5
2024-03-12,Crossroads,2002,https://boxd.it/1J9S,3.5
2024-03-12,Damsel,2024,https://boxd.it/sFY2,2
2024-03-15,Crazy Rich Asians,2018,https://boxd.it/gfnK,4
2024-03-15,Knives Out,2019,https://boxd.it/jWEA,4.5
2024-03-15,Dead Poets Society,1989,https://boxd.it/2aSg,4.5
2024-03-15,When They See Us,2019,https://boxd.it/kbJU,5
2024-03-15,Encanto,2021,https://boxd.it/kPRu,4
2024-03-15,The Notebook,2004,https://boxd.it/1UNE,4
2024-03-15,13th,2016,https://boxd.it/elNg,5
2024-03-15,Bridge to Terabithia,2007,https://boxd.it/28YG,5
2024-03-15,Hachi: A Dog's Tale,2009,https://boxd.it/1q4a,4
2024-03-15,Always Be My Maybe,2019,https://boxd.it/iB2y,3.5
2024-03-16,Song of the Exile,1990,https://boxd.it/YrA,3.5
2024-03-17,Kiki's Delivery Service,1989,https://boxd.it/1JAY,4
2024-03-17,My Neighbor Totoro,1988,https://boxd.it/20eA,3.5
2024-03-18,Echoes of the Rainbow,2010,https://boxd.it/13kO,3.5
2024-03-29,The Truman Show,1998,https://boxd.it/18U8,5
2024-03-30,Get Out,2017,https://boxd.it/eOCm,5
2024-03-30,Dear David,2023,https://boxd.it/E5Me,1.5
2024-03-31,Kung Fu Panda 3,2016,https://boxd.it/4uRQ,3.5
2024-03-31,Kung Fu Panda 4,2024,https://boxd.it/CepE,2.5
2024-04-06,How to Date Billy Walsh,2024,https://boxd.it/CtkO,1.5
2024-04-22,Cheaper by the Dozen,2003,https://boxd.it/1USa,2
2024-05-10,Kingdom of the Planet of the Apes,2024,https://boxd.it/ohEE,3.5
2024-05-22,From Up on Poppy Hill,2011,https://boxd.it/2VCa,3.5
2024-05-22,Spirited Away,2001,https://boxd.it/2b4m,4
2024-06-01,Happy Death Day,2017,https://boxd.it/fDz4,4
2024-06-15,Happy Death Day 2U,2019,https://boxd.it/ixt6,3.5
2024-06-15,Madame Web,2024,https://boxd.it/nwD0,1.5
2024-06-28,Inside Out,2015,https://boxd.it/4KHC,4
2024-07-16,Descendants: The Rise of Red,2024,https://boxd.it/ANk6,0.5
2024-07-20,She's Out of My League,2010,https://boxd.it/1eww,3
2024-07-31,The Final Destination,2009,https://boxd.it/1EmW,1
2024-08-02,Deadpool & Wolverine,2024,https://boxd.it/jq8s,3
2024-08-04,Disturbia,2007,https://boxd.it/20rk,2.5
2024-08-05,When a Stranger Calls,2006,https://boxd.it/1XcG,3
2024-08-25,Sydney White,2007,https://boxd.it/1VsM,3.5
2024-08-26,Incoming,2024,https://boxd.it/C7UK,3
2024-09-12,Red Eye,2005,https://boxd.it/1TNy,3
2024-09-12,Beetlejuice,1988,https://boxd.it/24QI,3
2024-09-14,Beetlejuice Beetlejuice,2024,https://boxd.it/yyGs,3.5
2024-09-14,Uglies,2024,https://boxd.it/sUKu,1.5
2024-09-16,The Perfect Couple,2024,https://boxd.it/Q5a4,3
2024-09-16,Barbie,2023,https://boxd.it/bCLK,3.5
2024-10-17,"I Love You, Man",2009,https://boxd.it/1JZu,2.5
2024-10-17,Isi & Ossi,2020,https://boxd.it/ovVO,2.5
2024-10-22,"Love, Guaranteed",2020,https://boxd.it/nUwC,1.5
2024-11-03,Agatha All Along,2024,https://boxd.it/Q5dC,4
2024-11-05,Time Cut,2024,https://boxd.it/vcWM,2
2024-11-24,Wicked,2024,https://boxd.it/e8ME,4
2024-12-01,Daddy's Home 2,2017,https://boxd.it/ePpI,2.5
2024-12-01,Daddy's Home,2015,https://boxd.it/8jSc,3
2024-12-04,Red One,2024,https://boxd.it/vTBM,4
2024-12-05,Phineas and Ferb The Movie: Across the 2nd Dimension,2011,https://boxd.it/2ql8,4
2024-12-16,Love Actually,2003,https://boxd.it/2aeU,4
2024-12-18,Carry-On,2024,https://boxd.it/C0B2,3
2024-12-25,The Fall Guy,2024,https://boxd.it/s0Bm,3.5
2025-01-01,Mufasa: The Lion King,2024,https://boxd.it/sE9C,3
2025-01-02,The Help,2011,https://boxd.it/EDm,4
2025-01-04,Phineas and Ferb the Movie: Candace Against the Universe,2020,https://boxd.it/lTrs,4
2025-01-23,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,3.5
2025-01-23,The Cheetah Girls,2003,https://boxd.it/1hkS,3
2025-03-06,My Fault: London,2025,https://boxd.it/NnHu,2.5
2025-03-06,Bring It On,2000,https://boxd.it/28x6,4
2025-03-06,Tag,2018,https://boxd.it/gh7Y,4
2025-03-20,You're Cordially Invited,2025,https://boxd.it/BFKW,2.5
2025-03-22,I Know What You Did Last Summer,1997,https://boxd.it/2588,3
2025-04-01,Adolescence,2025,https://boxd.it/TFGw,5
2025-04-01,Cruel Intentions,1999,https://boxd.it/29Be,3.5
2025-04-21,The Life List,2025,https://boxd.it/LN3c,3
2025-04-22,Mike and Dave Need Wedding Dates,2016,https://boxd.it/aciK,4
2025-05-01,A Minecraft Movie,2025,https://boxd.it/zRro,3
2025-05-02,The Sisterhood of the Traveling Pants,2005,https://boxd.it/1XPo,3
2025-05-02,The Sisterhood of the Traveling Pants 2,2008,https://boxd.it/1WS2,2.5
2025-05-05,Thunderbolts*,2025,https://boxd.it/BfbQ,4
2025-05-07,Good Will Hunting,1997,https://boxd.it/2ahY,5
2025-05-07,21 Jump Street,2012,https://boxd.it/J0,3.5
2025-05-15,Couples Retreat,2009,https://boxd.it/1EnU,3.5
2025-06-26,Woman of the Hour,2023,https://boxd.it/vuz2,4
2025-06-26,KPop Demon Hunters,2025,https://boxd.it/ufwK,3.5
2025-07-06,One of Them Days,2025,https://boxd.it/MReU,3.5
2025-07-16,Z-O-M-B-I-E-S 4: Dawn of the Vampires,2025,https://boxd.it/LfSq,1.5
2025-07-30,Death of a Unicorn,2025,https://boxd.it/HCPm,2.5
2025-07-30,Twisters,2024,https://boxd.it/qV7a,5
2025-08-03,Bridget Jones: Mad About the Boy,2025,https://boxd.it/Mu9s,2.5
2025-08-08,Sirens,2025,https://boxd.it/VgYk,3.5
2025-09-05,Materialists,2025,https://boxd.it/GZlW,2.5
2025-09-09,Unknown Number: The High School Catfish,2025,https://boxd.it/WtQq,2
2025-09-15,Escape Room,2019,https://boxd.it/iYlS,4
2025-09-15,Cars,2006,https://boxd.it/29ho,4
2025-09-15,Superman,2025,https://boxd.it/E9IU,5
2025-09-16,The Seat,2025,https://boxd.it/UKTC,3.5
2025-09-16,Incredibles 2,2018,https://boxd.it/7IPg,4
2025-09-16,Inside Out 2,2024,https://boxd.it/CFrC,4
2025-09-16,10 Things I Hate About You,1999,https://boxd.it/23AO,4
2025-09-20,The Wrong Paris,2025,https://boxd.it/OriA,2.5
2025-10-07,When Harry Met Sally...,1989,https://boxd.it/29W2,4
2025-10-07,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2025-11-23,Wicked: For Good,2025,https://boxd.it/AyfK,2.5
2025-11-30,Now You See Me: Now You Don't,2025,https://boxd.it/f3i2,3.5
2025-12-04,Eternity,2025,https://boxd.it/LYtK,5
2025-12-09,F1,2025,https://boxd.it/yjVM,4
2025-12-09,Zootopia 2,2025,https://boxd.it/F0vO,4.5
2025-12-09,A Very Jonas Christmas Movie,2025,https://boxd.it/SJ3c,2
2025-12-09,Jurassic World Rebirth,2025,https://boxd.it/KUeE,3.5
